loan_id,age,annual_income,loan_amount,loan_term_months,loan_purpose,credit_score,employment_years,debt_to_income_ratio,num_open_accounts,delinquencies_2yr,risk_rating,probability_of_default,loss_given_default,expected_loss,var_95,var_99,defaulted
LN00041,40,51023.45,109516.24,36,Debt Consolidation,724,7.0,2.146,3,2,BBB,0.101,0.45,4978.35,8761.3,16427.44,0
LN00042,43,128565.07,52122.85,60,Education,832,9.9,0.405,6,0,AAA,0.0251,0.45,589.11,4169.83,7818.43,0
LN00043,47,188081.47,195809.61,36,Debt Consolidation,692,1.8,1.041,11,0,A,0.0407,0.45,3584.78,15664.77,29371.44,0
LN00044,71,47760.66,37622.47,36,Auto,694,2.0,0.788,9,0,A,0.0496,0.45,840.02,3009.8,5643.37,0
LN00045,26,70161.05,147857.87,60,Home,820,11.3,2.107,10,0,A,0.0232,0.45,1540.44,11828.63,22178.68,0
LN00046,33,32810.8,32047.67,60,Auto,850,9.0,0.977,10,0,AAA,0.0253,0.45,364.76,2563.81,4807.15,0
LN00047,53,34014.59,53817.41,24,Auto,628,8.0,1.582,7,0,BB,0.0717,0.45,1736.43,4305.39,8072.61,0
LN00048,74,50896.64,58103.93,36,Debt Consolidation,718,24.4,1.142,11,0,A,0.0276,0.45,720.55,4648.31,8715.59,0
LN00049,48,38008.53,54142.43,72,Education,611,1.3,1.424,10,2,BB,0.2085,0.45,5078.9,4331.39,8121.36,0
LN00050,22,40424.34,24409.37,36,Auto,694,0.5,0.604,8,0,A,0.0831,0.45,913.2,1952.75,3661.41,0
LN00051,65,84990.17,41067.48,12,Home,615,5.0,0.483,7,0,BB,0.1209,0.45,2234.46,3285.4,6160.12,0
LN00052,32,91221.76,31516.55,24,Debt Consolidation,669,0.5,0.345,4,2,BBB,0.1671,0.45,2369.37,2521.32,4727.48,1
LN00053,71,198705.71,173190.3,12,Personal,704,12.7,0.872,2,0,A,0.0276,0.45,2153.08,13855.22,25978.54,0
LN00054,32,74065.53,29055.0,24,Personal,637,9.9,0.392,11,0,BB,0.0792,0.45,1035.25,2324.4,4358.25,0
LN00055,50,62169.78,135132.87,72,Debt Consolidation,605,5.8,2.174,11,0,BB,0.1255,0.45,7629.85,10810.63,20269.93,1
LN00056,52,77179.06,162201.45,72,Debt Consolidation,767,2.1,2.102,4,1,A,0.0542,0.45,3954.86,12976.12,24330.22,0
LN00057,70,163650.65,277088.8,24,Auto,825,3.1,1.693,10,0,AA,0.0272,0.45,3395.62,22167.1,41563.32,0
LN00058,62,48663.75,22134.66,24,Auto,696,8.3,0.455,11,0,A,0.0423,0.45,421.44,1770.77,3320.2,0
LN00059,54,97574.87,182675.12,36,Home,733,16.4,1.872,2,0,AA,0.0214,0.45,1760.5,14614.01,27401.27,0
LN00060,33,117308.39,63799.75,72,Business,751,7.4,0.544,9,0,AAA,0.0298,0.45,855.64,5103.98,9569.96,0
LN00061,34,90756.96,77890.44,60,Business,694,3.2,0.858,7,0,A,0.0448,0.45,1568.97,6231.24,11683.57,0
LN00062,33,72671.72,22240.82,72,Business,668,15.9,0.306,4,2,BBB,0.1266,0.45,1266.98,1779.27,3336.12,0
LN00063,56,110396.64,299481.33,24,Personal,850,3.3,2.713,8,0,BBB,0.0566,0.45,7627.28,23958.51,44922.2,0
LN00064,45,170206.71,399133.18,48,Debt Consolidation,615,9.8,2.345,11,1,BB,0.1516,0.45,27224.36,31930.65,59869.98,0
LN00065,61,46904.85,113063.69,72,Personal,667,5.4,2.41,2,0,BBB,0.045,0.45,2290.96,9045.1,16959.55,0
LN00066,30,92997.31,169839.39,36,Business,770,30.9,1.826,3,0,AA,0.0247,0.45,1889.46,13587.15,25475.91,0
LN00067,71,190472.5,424310.56,48,Education,684,4.1,2.228,4,0,A,0.0448,0.45,8562.1,33944.84,63646.58,0
LN00068,61,33456.02,59483.02,72,Business,716,0.0,1.778,6,0,A,0.0641,0.45,1714.52,4758.64,8922.45,1
LN00069,32,35801.08,53246.12,12,Personal,603,1.2,1.487,9,1,BB,0.1594,0.45,3818.38,4259.69,7986.92,0
LN00070,21,71449.11,71683.96,36,Education,577,2.0,1.003,4,0,B,0.2011,0.45,6487.5,5734.72,10752.59,0
LN00071,44,90287.53,75076.39,72,Education,728,2.1,0.832,4,0,AA,0.0212,0.45,716.62,6006.11,11261.46,0
LN00072,32,44567.72,53142.38,12,Education,659,4.6,1.192,5,0,BBB,0.0768,0.45,1837.27,4251.39,7971.36,0
LN00073,56,55482.16,43755.08,36,Business,696,6.2,0.789,8,2,BBB,0.1237,0.45,2435.04,3500.41,6563.26,0
LN00074,71,78806.14,193947.09,36,Personal,761,8.2,2.461,3,1,A,0.0576,0.45,5025.04,15515.77,29092.06,0
LN00075,69,74088.4,160733.86,60,Home,747,3.1,2.169,8,1,A,0.0569,0.45,4117.06,12858.71,24110.08,0
LN00076,59,69028.39,147654.11,36,Education,755,9.2,2.139,3,0,A,0.0211,0.45,1400.34,11812.33,22148.12,0
LN00077,69,88063.71,79235.52,36,Home,828,9.6,0.9,11,0,AAA,0.0266,0.45,949.99,6338.84,11885.33,0
LN00078,23,91550.75,178753.9,36,Auto,646,8.2,1.953,7,0,BBB,0.0785,0.45,6310.53,14300.31,26813.08,0
LN00079,63,46505.94,99891.3,12,Education,752,5.6,2.148,9,2,BBB,0.1015,0.45,4564.62,7991.3,14983.7,0
LN00080,40,95639.43,28938.58,60,Home,606,5.4,0.303,2,2,BB,0.2095,0.45,2728.44,2315.09,4340.79,0
LN00081,39,188988.15,170497.8,60,Auto,701,25.8,0.902,9,0,A,0.0285,0.45,2187.51,13639.82,25574.67,0
LN00082,61,40820.18,75583.84,72,Education,719,9.6,1.852,11,0,A,0.0285,0.45,967.94,6046.71,11337.58,0
LN00083,48,32254.82,58653.27,72,Business,726,28.8,1.818,2,1,A,0.0504,0.45,1329.05,4692.26,8797.99,0
LN00084,56,89283.01,197422.78,48,Auto,718,10.9,2.211,3,0,A,0.0202,0.45,1790.47,15793.82,29613.42,0
LN00085,66,105912.87,203029.17,24,Business,734,19.0,1.917,6,0,AA,0.02,0.45,1831.44,16242.33,30454.38,0
LN00086,74,176681.19,289536.65,48,Debt Consolidation,816,19.1,1.639,3,0,AA,0.0226,0.45,2944.19,23162.93,43430.5,0
LN00087,50,94149.48,125759.43,72,Personal,705,20.9,1.336,3,0,A,0.0236,0.45,1336.3,10060.75,18863.91,0
LN00088,42,125849.31,85065.94,60,Business,641,2.0,0.676,11,0,BBB,0.0707,0.45,2705.83,6805.28,12759.89,0
LN00089,62,48591.1,118935.86,72,Education,749,0.3,2.448,3,2,BBB,0.1448,0.45,7747.56,9514.87,17840.38,0
LN00090,65,31203.16,12773.47,36,Home,611,9.7,0.409,6,0,BB,0.1221,0.45,702.03,1021.88,1916.02,0
LN00091,57,47000.26,115435.32,36,Auto,565,26.9,2.456,11,0,B,0.2042,0.45,10609.09,9234.83,17315.3,0
LN00092,54,130450.44,235056.56,48,Auto,606,4.8,1.802,11,0,BB,0.1288,0.45,13620.06,18804.52,35258.48,1
LN00093,66,33154.77,44740.07,60,Personal,764,6.6,1.349,10,2,BBB,0.1048,0.45,2110.62,3579.21,6711.01,0
LN00094,50,101788.51,56632.34,24,Personal,637,3.2,0.556,4,0,BB,0.0787,0.45,2004.44,4530.59,8494.85,0
LN00095,52,78498.19,76704.11,72,Education,719,19.6,0.977,4,0,A,0.0248,0.45,855.52,6136.33,11505.62,0
LN00096,32,132712.3,271484.73,12,Home,658,2.5,2.046,3,2,BBB,0.1505,0.45,18386.68,21718.78,40722.71,0
LN00097,51,77956.83,67903.31,24,Business,849,15.6,0.871,5,0,AAA,0.0274,0.45,838.12,5432.26,10185.5,0
LN00098,32,84794.17,226529.9,60,Home,661,10.6,2.672,4,0,BBB,0.0733,0.45,7473.8,18122.39,33979.48,0
LN00099,65,81790.38,54312.55,60,Business,766,3.1,0.664,9,2,BBB,0.1015,0.45,2480.17,4345.0,8146.88,0
LN00100,57,70952.8,197732.96,12,Business,614,24.0,2.787,3,0,BB,0.1501,0.45,13355.72,15818.64,29659.94,0
LN00101,62,127197.58,166377.84,36,Business,706,3.4,1.308,2,1,A,0.0519,0.45,3887.28,13310.23,24956.68,0
LN00102,44,43005.45,107647.55,12,Personal,634,7.3,2.503,4,2,BB,0.1894,0.45,9175.87,8611.8,16147.13,1
LN00103,51,62921.85,88535.99,24,Auto,752,16.7,1.407,5,0,AAA,0.0292,0.45,1163.63,7082.88,13280.4,0
LN00104,48,78629.22,41250.61,48,Debt Consolidation,806,8.1,0.525,7,2,BBB,0.1005,0.45,1866.39,3300.05,6187.59,0
LN00105,58,41889.16,113580.07,60,Personal,600,2.9,2.711,9,0,BB,0.1587,0.45,8110.18,9086.41,17037.01,0
LN00106,44,20248.05,14878.68,24,Education,664,5.4,0.735,9,0,BBB,0.0479,0.45,320.59,1190.29,2231.8,0
LN00107,63,59751.71,93037.11,48,Home,723,4.9,1.557,11,0,AA,0.0283,0.45,1185.38,7442.97,13955.57,0
LN00108,48,43402.4,50649.96,24,Business,644,37.8,1.167,9,0,BBB,0.0793,0.45,1808.22,4052.0,7597.49,0
LN00109,58,142841.44,252638.39,24,Personal,661,12.7,1.769,10,0,BBB,0.0482,0.45,5476.54,20211.07,37895.76,0
LN00110,53,91944.91,218483.44,72,Business,640,3.3,2.376,11,0,BBB,0.0704,0.45,6924.22,17478.68,32772.52,0
LN00111,24,77220.4,132872.57,24,Personal,729,3.2,1.721,2,0,AA,0.0208,0.45,1246.5,10629.81,19930.89,0
LN00112,28,34712.37,44833.68,12,Auto,644,25.6,1.292,4,0,BBB,0.075,0.45,1513.22,3586.69,6725.05,0
LN00113,49,61444.6,56819.17,72,Home,775,2.6,0.925,10,0,AAA,0.0222,0.45,567.35,4545.53,8522.88,0
LN00114,66,114628.58,68627.27,36,Auto,659,9.8,0.599,9,0,BBB,0.078,0.45,2409.28,5490.18,10294.09,0
LN00115,62,75193.32,161967.92,72,Auto,688,11.1,2.154,11,0,A,0.0425,0.45,3099.66,12957.43,24295.19,0
LN00116,26,45102.4,83374.71,12,Home,750,4.9,1.849,10,0,AA,0.0227,0.45,851.87,6669.98,12506.21,0
LN00117,66,83153.45,110590.65,60,Debt Consolidation,723,10.2,1.33,4,0,AA,0.024,0.45,1194.59,8847.25,16588.6,0
LN00118,60,111154.55,57176.02,24,Debt Consolidation,678,5.7,0.514,9,0,BBB,0.0475,0.45,1222.21,4574.08,8576.4,0
LN00119,69,63516.7,59323.08,12,Education,850,6.4,0.934,4,0,AAA,0.0241,0.45,644.57,4745.85,8898.46,0
LN00120,35,33999.1,71713.34,24,Home,763,12.1,2.109,3,2,BBB,0.1043,0.45,3366.16,5737.07,10757.0,0
LN00121,55,36101.29,85090.43,12,Personal,725,5.2,2.357,3,0,A,0.0238,0.45,911.79,6807.23,12763.56,0
LN00122,56,39602.22,41188.28,36,Business,659,8.0,1.04,7,0,BBB,0.0759,0.45,1405.98,3295.06,6178.24,0
LN00123,73,89916.69,32211.12,36,Education,699,7.9,0.358,4,0,A,0.0447,0.45,648.41,2576.89,4831.67,1
LN00124,53,260591.0,221480.45,12,Education,727,1.1,0.85,8,0,AA,0.0221,0.45,2203.55,17718.44,33222.07,0
LN00125,61,65717.51,156459.79,24,Education,717,8.6,2.381,7,0,A,0.0245,0.45,1722.81,12516.78,23468.97,0
LN00126,48,143307.59,79109.29,60,Personal,714,5.3,0.552,2,1,A,0.059,0.45,2101.38,6328.74,11866.39,1
LN00127,21,42852.93,77096.75,24,Education,673,7.1,1.799,5,2,BBB,0.1256,0.45,4358.56,6167.74,11564.51,0
LN00128,35,63438.33,108218.86,48,Business,685,3.6,1.706,3,0,A,0.047,0.45,2287.8,8657.51,16232.83,0
LN00129,62,102866.21,101048.27,12,Auto,572,14.7,0.982,8,0,B,0.2023,0.45,9200.74,8083.86,15157.24,0
LN00130,53,140775.84,279436.24,60,Business,604,6.1,1.985,11,0,BB,0.122,0.45,15344.67,22354.9,41915.44,0
LN00131,57,67755.93,140829.0,24,Debt Consolidation,697,11.9,2.078,7,0,A,0.0462,0.45,2929.75,11266.32,21124.35,0
LN00132,48,101689.64,52897.85,24,Home,682,0.6,0.52,9,0,A,0.0854,0.45,2033.65,4231.83,7934.68,0
LN00133,38,176565.51,190253.52,60,Auto,789,14.0,1.078,4,0,AAA,0.0255,0.45,2185.02,15220.28,28538.03,0
LN00134,34,42187.03,113547.0,24,Personal,700,20.9,2.692,5,0,BBB,0.0548,0.45,2801.43,9083.76,17032.05,0
LN00135,69,72812.06,175284.82,12,Debt Consolidation,597,0.5,2.407,10,0,B,0.1626,0.45,12827.0,14022.79,26292.72,0
LN00136,46,87596.71,216976.71,36,Business,732,0.1,2.477,5,0,A,0.0616,0.45,6011.59,17358.14,32546.51,0
LN00137,71,46637.91,106727.22,24,Home,787,6.5,2.288,7,1,A,0.0578,0.45,2777.14,8538.18,16009.08,0
LN00138,31,96572.36,130159.08,36,Personal,599,9.5,1.348,6,1,B,0.1569,0.45,9192.37,10412.73,19523.86,0
LN00139,52,93505.95,45125.26,24,Personal,850,6.7,0.483,3,0,AAA,0.0256,0.45,520.34,3610.02,6768.79,0
LN00140,47,70296.56,128834.78,24,Home,818,24.5,1.833,8,0,AA,0.0284,0.45,1648.74,10306.78,19325.22,0
LN00141,43,135574.1,107887.93,24,Debt Consolidation,587,1.3,0.796,11,0,B,0.1245,0.45,6045.48,8631.03,16183.19,0
LN00142,31,138729.85,288368.32,48,Education,734,15.2,2.079,6,0,A,0.0277,0.45,3593.79,23069.47,43255.25,0
LN00143,65,27708.28,10450.34,12,Auto,786,12.2,0.377,10,2,BBB,0.1067,0.45,501.93,836.03,1567.55,0
LN00144,54,94907.38,123895.74,72,Auto,687,13.4,1.305,9,1,A,0.0781,0.45,4351.84,9911.66,18584.36,1
LN00145,73,241444.51,78905.59,24,Home,662,8.8,0.327,9,0,BBB,0.05,0.45,1774.16,6312.45,11835.84,0
LN00146,71,104375.4,235589.81,48,Business,693,17.3,2.257,10,0,A,0.0442,0.45,4688.32,18847.18,35338.47,0
LN00147,59,25211.79,8251.85,72,Education,735,12.1,0.327,5,0,AA,0.0209,0.45,77.69,660.15,1237.78,0
LN00148,39,38823.41,99773.98,12,Auto,728,2.7,2.57,5,0,BBB,0.0572,0.45,2566.19,7981.92,14966.1,0
LN00149,34,56877.24,101302.44,36,Debt Consolidation,655,30.8,1.781,10,1,BBB,0.1051,0.45,4793.21,8104.2,15195.37,0
LN00150,48,25249.68,58519.03,72,Education,744,9.1,2.318,9,0,A,0.0267,0.45,703.3,4681.52,8777.85,0
LN00151,23,99651.39,274381.93,60,Education,517,13.1,2.753,10,0,CCC,0.234,0.45,28889.09,21950.55,41157.29,1
LN00152,60,47075.89,79299.53,48,Business,621,16.5,1.685,6,1,BB,0.1075,0.45,3835.56,6343.96,11894.93,0
LN00153,55,49669.58,132430.62,12,Personal,683,11.2,2.666,10,0,BBB,0.0715,0.45,4260.23,10594.45,19864.59,0
LN00154,24,74755.91,136671.11,48,Auto,774,23.6,1.828,11,0,AA,0.029,0.45,1786.24,10933.69,20500.67,0
LN00155,36,72979.93,117897.71,24,Business,701,14.6,1.615,7,0,A,0.0251,0.45,1329.87,9431.82,17684.66,0
LN00156,51,226868.87,180188.27,24,Home,766,0.4,0.794,7,1,A,0.0988,0.45,8009.87,14415.06,27028.24,0
LN00157,50,50923.19,40130.53,12,Education,741,5.9,0.788,9,0,AA,0.0283,0.45,511.02,3210.44,6019.58,0
LN00158,31,65305.24,74254.08,24,Debt Consolidation,773,3.9,1.137,2,0,AAA,0.0294,0.45,982.31,5940.33,11138.11,0
LN00159,55,65812.78,36412.67,12,Auto,689,1.6,0.553,3,0,A,0.0463,0.45,759.42,2913.01,5461.9,0
LN00160,47,113190.54,176488.0,24,Personal,629,5.5,1.559,2,0,BB,0.0762,0.45,6052.97,14119.04,26473.2,0
LN00161,27,228157.99,324453.39,60,Home,713,0.3,1.422,11,0,A,0.0679,0.45,9909.45,25956.27,48668.01,0
LN00162,54,64423.4,97599.76,24,Debt Consolidation,650,9.9,1.515,9,1,BBB,0.1023,0.45,4492.27,7807.98,14639.96,0
LN00163,32,140781.63,113595.6,12,Business,753,18.9,0.807,5,2,BBB,0.1084,0.45,5540.2,9087.65,17039.34,0
LN00164,51,74816.55,111560.24,72,Education,608,11.2,1.491,11,0,BB,0.1236,0.45,6202.92,8924.82,16734.04,0
LN00165,27,31405.57,55859.45,60,Business,685,0.6,1.779,5,0,A,0.0878,0.45,2207.83,4468.76,8378.92,0
LN00166,36,61701.54,42943.57,48,Debt Consolidation,739,2.7,0.696,10,0,AA,0.0209,0.45,403.95,3435.49,6441.54,0
LN00167,52,52734.8,102165.88,72,Education,777,6.8,1.937,11,0,AA,0.028,0.45,1288.97,8173.27,15324.88,0
LN00168,24,117171.36,280949.76,36,Debt Consolidation,642,6.1,2.398,7,0,BBB,0.0714,0.45,9031.35,22475.98,42142.46,0
LN00169,32,57067.95,118676.7,72,Auto,679,7.9,2.08,4,0,BBB,0.0463,0.45,2474.38,9494.14,17801.5,0
LN00170,49,48952.61,100467.88,24,Education,665,22.8,2.052,10,0,BBB,0.0486,0.45,2196.33,8037.43,15070.18,0
LN00171,27,151586.12,375380.3,12,Personal,619,16.2,2.476,9,2,BB,0.2035,0.45,34370.54,30030.42,56307.04,1
LN00172,28,49796.75,138292.25,72,Education,573,4.5,2.777,8,1,B,0.2688,0.45,16727.64,11063.38,20743.84,0
LN00173,73,75228.77,146430.56,36,Business,635,2.7,1.946,7,0,BB,0.0794,0.45,5234.61,11714.44,21964.58,0
LN00174,41,114356.42,212932.19,12,Debt Consolidation,606,8.8,1.862,11,0,BB,0.1265,0.45,12123.32,17034.58,31939.83,0
LN00175,62,250409.42,240526.21,48,Personal,813,2.7,0.961,9,0,AAA,0.0233,0.45,2524.01,19242.1,36078.93,0
LN00176,46,96113.21,243205.28,12,Auto,585,15.6,2.53,2,0,B,0.1535,0.45,16796.33,19456.42,36480.79,0
LN00177,55,152801.22,246649.04,48,Auto,662,0.4,1.614,2,0,BBB,0.0894,0.45,9924.65,19731.92,36997.36,0
LN00178,28,40046.46,48181.31,12,Auto,719,2.6,1.203,4,0,A,0.0212,0.45,459.17,3854.5,7227.2,0
LN00179,42,83109.22,134731.35,48,Debt Consolidation,704,22.1,1.621,9,2,BBB,0.106,0.45,6425.15,10778.51,20209.7,0
LN00180,26,46146.77,127350.06,36,Home,756,0.3,2.76,8,0,BBB,0.0913,0.45,5231.58,10188.0,19102.51,0
LN00181,51,26168.25,46329.08,36,Auto,621,12.2,1.77,2,0,BB,0.0744,0.45,1551.07,3706.33,6949.36,0
LN00182,22,84507.19,98907.8,48,Business,545,0.5,1.17,7,0,B,0.2488,0.45,11075.0,7912.62,14836.17,0
LN00183,42,71870.87,178177.01,48,Auto,663,8.1,2.479,4,0,BBB,0.0443,0.45,3551.27,14254.16,26726.55,0
LN00184,69,142264.21,43727.28,12,Home,683,5.3,0.307,4,0,A,0.0457,0.45,899.0,3498.18,6559.09,0
LN00185,55,94164.49,228748.48,48,Home,663,11.1,2.429,2,1,BBB,0.0774,0.45,7967.37,18299.88,34312.27,0
LN00186,60,86766.79,181228.78,60,Auto,850,0.8,2.089,7,0,A,0.0647,0.45,5277.09,14498.3,27184.32,0
LN00187,21,48033.22,16035.07,24,Auto,759,7.0,0.334,4,1,A,0.0525,0.45,378.62,1282.81,2405.26,0
LN00188,27,84012.03,151494.77,72,Personal,677,6.4,1.803,4,0,BBB,0.0483,0.45,3290.62,12119.58,22724.22,0
LN00189,44,56147.09,29882.18,12,Auto,800,12.0,0.532,7,0,AAA,0.0292,0.45,392.24,2390.57,4482.33,0
LN00190,39,42568.28,95098.62,36,Personal,643,29.9,2.234,6,0,BBB,0.0748,0.45,3199.29,7607.89,14264.79,0
LN00191,29,47128.43,38673.5,48,Personal,754,39.3,0.821,9,0,AAA,0.0268,0.45,465.95,3093.88,5801.02,0
LN00192,43,53350.79,50746.58,72,Personal,850,2.8,0.951,3,0,AAA,0.0243,0.45,554.53,4059.73,7611.99,0
LN00193,48,44127.45,27017.15,72,Home,768,7.8,0.612,3,0,AAA,0.0247,0.45,299.89,2161.37,4052.57,0
LN00194,25,120720.36,234612.63,48,Business,759,6.1,1.943,9,0,AA,0.0224,0.45,2363.07,18769.01,35191.89,0
LN00195,71,66404.45,31518.26,60,Home,834,3.0,0.475,10,0,AAA,0.0207,0.45,294.08,2521.46,4727.74,0
LN00196,74,44580.66,108417.68,48,Auto,680,32.7,2.432,5,0,A,0.049,0.45,2392.29,8673.41,16262.65,0
LN00197,66,61874.08,19811.54,72,Business,850,4.6,0.32,10,0,AAA,0.021,0.45,187.63,1584.92,2971.73,0
LN00198,36,86177.82,148895.28,12,Education,688,6.9,1.728,7,0,A,0.0401,0.45,2685.22,11911.62,22334.29,0
LN00199,53,119268.05,288568.86,36,Debt Consolidation,661,1.8,2.419,8,0,BBB,0.0447,0.45,5804.95,23085.51,43285.33,0
LN00200,22,59194.73,149104.81,60,Home,776,4.1,2.519,7,1,BBB,0.0806,0.45,5407.15,11928.38,22365.72,0
LN00201,44,58768.29,59732.64,12,Home,708,0.5,1.016,10,0,A,0.066,0.45,1774.35,4778.61,8959.9,0
LN00202,37,34399.28,37040.16,36,Auto,761,1.7,1.077,4,0,AAA,0.0271,0.45,452.43,2963.21,5556.02,0
LN00203,42,51910.88,127984.45,48,Personal,699,2.4,2.465,3,1,A,0.0769,0.45,4428.92,10238.76,19197.67,0
LN00204,32,38049.92,74362.14,12,Education,528,14.9,1.954,9,0,CCC,0.2071,0.45,6931.6,5948.97,11154.32,0
LN00205,24,52108.03,40166.21,48,Business,528,13.8,0.771,5,0,CCC,0.2069,0.45,3740.14,3213.3,6024.93,1
LN00206,74,43746.88,58079.89,24,Auto,645,4.1,1.328,2,0,BBB,0.0733,0.45,1915.5,4646.39,8711.98,0
LN00207,51,93079.07,192740.06,12,Business,623,0.8,2.071,7,0,BB,0.1154,0.45,10004.76,15419.2,28911.01,0
LN00208,40,32527.55,69682.57,72,Personal,657,0.9,2.142,6,0,BBB,0.1103,0.45,3460.14,5574.61,10452.39,0
